ticker,event_date,setup_type,reason
MRVL,2026-06-22,s06_index_inclusion,Market capitalization change.[6]
FLEX,2026-06-22,s06_index_inclusion,Market capitalization change.[6]
FDXF,2026-06-01,s06_index_inclusion,S&P 500 & 100 constituent FedEx Corp. spun off FedEx Freight Holding.[7]
VEEV,2026-05-07,s06_index_inclusion,S&P 500 constituent Devon Energy Corp. acquired Coterra Energy. [8][9]
CASY,2026-04-09,s06_index_inclusion,Blackstone Inc. and TPG Inc. acquired Hologic.[10]
VRT,2026-03-23,s06_index_inclusion,Market capitalization change.[11]
LITE,2026-03-23,s06_index_inclusion,Market capitalization change.[11]
COHR,2026-03-23,s06_index_inclusion,Market capitalization change.[11]
SATS,2026-03-23,s06_index_inclusion,Market capitalization change.[11]
CIEN,2026-02-09,s06_index_inclusion,Thoma Bravo L.P. acquired Dayforce.[12]
CRH,2025-12-22,s06_index_inclusion,Market capitalization change.[13]
CVNA,2025-12-22,s06_index_inclusion,Market capitalization change.[13]
FIX,2025-12-22,s06_index_inclusion,Market capitalization change.[13]
ARES,2025-12-11,s06_index_inclusion,Mars Inc. acquired Kellanova.[14]
SNDK,2025-11-28,s06_index_inclusion,S&P 500 constituent Omnicom Group Inc. acquired (The) Interpublic Group.[15][16]
Q,2025-11-03,s06_index_inclusion,"S&P 500 constituent Dupont de Nemours, Inc. spun off Qnity Electronics.[17]"
SOLS,2025-10-30,s06_index_inclusion,S&P 500 and S&P 100 constituent Honeywell International Inc. spun off Solstice Advanced Materials.[17]
EME,2025-09-22,s06_index_inclusion,Market capitalization change.[18]
HOOD,2025-09-22,s06_index_inclusion,Market capitalization change.[18]
APP,2025-09-22,s06_index_inclusion,Market capitalization change.[18]
IBKR,2025-08-28,s06_index_inclusion,Sycamore Partners acquired Walgreen Boots Alliance.[19]
XYZ,2025-07-23,s06_index_inclusion,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation[20]
TTD,2025-07-18,s06_index_inclusion,S&P 500 constituent Synopsys Inc. acquired Ansys.[21]
DDOG,2025-07-09,s06_index_inclusion,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.[22]
COIN,2025-05-19,s06_index_inclusion,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.[23]
DASH,2025-03-24,s06_index_inclusion,Market capitalization change.[24]
TKO,2025-03-24,s06_index_inclusion,Market capitalization change.[24]
WSM,2025-03-24,s06_index_inclusion,Market capitalization change.[24]
EXE,2025-03-24,s06_index_inclusion,Market capitalization change.[24]
APO,2024-12-23,s06_index_inclusion,Market capitalization change.[25]
WDAY,2024-12-23,s06_index_inclusion,Market capitalization change.[25]
LII,2024-12-23,s06_index_inclusion,Novo Holdings A/S acquired Catalent.[26]
TPL,2024-11-26,s06_index_inclusion,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[27]
AMTM,2024-09-30,s06_index_inclusion,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.[28]"
PLTR,2024-09-23,s06_index_inclusion,Market capitalization change.[29]
DELL,2024-09-23,s06_index_inclusion,Market capitalization change.[29]
ERIE,2024-09-23,s06_index_inclusion,Market capitalization change.[29]
KKR,2024-06-24,s06_index_inclusion,Market capitalization change.[30]
CRWD,2024-06-24,s06_index_inclusion,Market capitalization change.[30]
GDDY,2024-06-24,s06_index_inclusion,Market capitalization change.[30]
VST,2024-05-08,s06_index_inclusion,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[31]
GEV,2024-04-02,s06_index_inclusion,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[32]
SOLV,2024-04-01,s06_index_inclusion,S&P 500 and 100 constituent 3M Co. spun off Solventum.[32]
SMCI,2024-03-18,s06_index_inclusion,Market capitalization change.[33]
DECK,2024-03-18,s06_index_inclusion,Market capitalization change.[33]
UBER,2023-12-18,s06_index_inclusion,Market capitalization change.[34]
JBL,2023-12-18,s06_index_inclusion,Market capitalization change.[34]
BLDR,2023-12-18,s06_index_inclusion,Market capitalization change.[34]
HUBB,2023-10-18,s06_index_inclusion,Market capitalization change.[35]
LULU,2023-10-18,s06_index_inclusion,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[35]
VLTO,2023-10-02,s06_index_inclusion,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.[36]
BX,2023-09-18,s06_index_inclusion,Market capitalization change.[37]
ABNB,2023-09-18,s06_index_inclusion,Market capitalization change.[37]
KVUE,2023-08-25,s06_index_inclusion,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[38]
PANW,2023-06-20,s06_index_inclusion,Market capitalization change.[39]
AXON,2023-05-04,s06_index_inclusion,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[40]
FICO,2023-03-20,s06_index_inclusion,Market capitalization change.[41]
BG,2023-03-15,s06_index_inclusion,The FDIC placed Signature Bank into FDIC Receivership.[42]
PODD,2023-03-15,s06_index_inclusion,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[43]"
GEHC,2023-01-04,s06_index_inclusion,S&P 500 constituent General Electric spun off GE HealthCare.[44]
STLD,2022-12-22,s06_index_inclusion,S&P 500 constituent Johnson & Johnson acquired Abiomed.[45]
FSLR,2022-12-19,s06_index_inclusion,Market capitalization change.[46]
MBC,2022-12-15,s06_index_inclusion,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.[46]
ACGL,2022-11-01,s06_index_inclusion,Elon Musk acquired Twitter.[47]
TRGP,2022-10-12,s06_index_inclusion,Elliot Management Corp acquired Nielsen Holdings.[48]
PCG,2022-10-03,s06_index_inclusion,Vista Equity Partners acquired Citrix Systems.[49]
EQT,2022-10-03,s06_index_inclusion,S&P 500 constituent Prologis Inc. acquired Duke Realty.[49]
CSGP,2022-09-19,s06_index_inclusion,Market capitalization change.[50]
INVH,2022-09-19,s06_index_inclusion,Market capitalization change.[50]
KDP,2022-06-21,s06_index_inclusion,Market capitalization change.[51]
ON,2022-06-21,s06_index_inclusion,Market capitalization change.[51]
VICI,2022-06-08,s06_index_inclusion,S&P 500 constituent Oracle Corp. acquired Cerner.[51]
WBD,2022-04-11,s06_index_inclusion,WarnerMedia and Discovery merge to create Warner Bros. Discovery.[52]
CPT,2022-04-04,s06_index_inclusion,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[53]
MOH,2022-03-02,s06_index_inclusion,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[54]
NDSN,2022-02-15,s06_index_inclusion,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[55]
CEG,2022-02-02,s06_index_inclusion,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.[56]
SBNY,2021-12-20,s06_index_inclusion,Market capitalization change.[57]
SEDG,2021-12-20,s06_index_inclusion,Market capitalization change.[57]
FDS,2021-12-20,s06_index_inclusion,Market capitalization change.[57]
EPAM,2021-12-14,s06_index_inclusion,Canadian Pacific acquired Kansas City Southern.[58]
MTCH,2021-09-20,s06_index_inclusion,Market capitalization change.[59]
CDAY,2021-09-20,s06_index_inclusion,Market capitalization change.[59]
BRO,2021-09-20,s06_index_inclusion,Market capitalization change.[59]
TECH,2021-08-30,s06_index_inclusion,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[60]
MRNA,2021-07-21,s06_index_inclusion,AstraZeneca acquired Alexion Pharmaceuticals.[61]
